bike_name,age_bucket,buy_city,sell_city,distance_km,buy_price,sell_price,total_cost,net_profit,risk_score,confidence,risk_adjusted_profit,sell_liquidity,est_days_to_sell,buy_zone,sell_zone
KTM RC 390cc,3-6,Mumbai,Bulandshahr,1154.334829285287,146515.38461538462,228815.28905284594,164904.1583340097,63911.13071883624,0.7871067906103788,0.9890130573694068,35369.426787631026,7.8043229683563355,12,2.0,3.0
Harley-Davidson Street 750,3-6,Ahmedabad,Mumbai,440.6157365275471,250000.0,381458.7720587412,270462.4629461102,110996.30911263102,0.7180893009428062,0.5,32302.252581318528,6.553632565609218,15,2.0,2.0
KTM Duke 390cc,3-6,Mumbai,Kolhapur,300.8593928625129,151281.92857142858,212297.88270903841,166249.46257145004,46048.42013758837,0.5962389109070665,0.9933071490757153,28654.999332347234,8.087084283363767,12,2.0,3.0
KTM RC 390cc,3-6,Mumbai,Indore,498.4038136656334,146515.38461538462,203853.01444396732,162034.76910081637,41818.24534315095,0.6563666716737586,0.9890130573694068,24969.58637718822,7.8043229683563355,12,2.0,0.0
Royal Enfield Classic 350cc,3-6,Ratnagiri,Pune,173.1076502112926,80000.0,123683.4338497905,89000.0,34683.4338497905,0.48709668782136506,0.9990889488055994,23301.669454137216,10.0,10,1.0,2.0
KTM Duke 390cc,3-6,Pune,Kolhapur,207.25941004045197,160467.9090909091,212297.88270903841,175520.34218561638,36777.54052342204,0.5775189143426542,0.9706877692486436,22630.16211378231,8.087084283363767,12,2.0,3.0
KTM Duke 390cc,3-6,Gurgaon,Pune,1148.6534457838643,100000.0,158197.81528007681,116045.9603373516,42151.854942725215,0.8304887429812071,0.9706877692486436,22352.65865520071,8.087084283363767,12,2.0,2.0
KTM RC 390cc,3-6,Pune,Bulandshahr,1172.6427596878814,159716.66666666666,228815.28905284594,178820.4282790636,49994.86077378233,0.7907683766908975,0.7310585786300049,20409.7706503084,7.8043229683563355,12,2.0,3.0
Harley-Davidson Street 750,3-6,Ahmedabad,Pune,518.1103208581802,250000.0,401800.1118661484,270772.4412834327,131027.67058271571,0.7664140388071559,0.2689414213699951,19949.325124879266,6.553632565609218,15,2.0,2.0
Bajaj Pulsar RS200 ABS,3-6,Gurgaon,Moradabad,180.73180639722386,85620.0,143113.13761907848,93188.6,49924.537619078474,0.5797561277304858,0.6224593312018546,19671.3870903466,7.950983932894822,12,2.0,0.0
KTM Duke 390cc,3-6,Gurgaon,Mumbai,1122.5450981751098,100000.0,151513.0957631004,115967.63529452533,35545.46046857507,0.839402392773704,0.9933071490757153,19195.125623046646,8.087084283363767,12,2.0,2.0
KTM Duke 390cc,0-3,Mumbai,Vapi,144.45220704156384,208200.0,267117.0065659641,219446.0,47671.00656596408,0.5624405319722149,0.6224593312018546,18991.611045390437,8.087084283363767,12,2.0,3.0
Royal Enfield Thunderbird 500cc,3-6,Kalyan,Pune,110.53806738109567,98000.0,140534.5588891268,105940.0,34594.55888912681,0.6075464922254511,0.8807970779778823,18954.839894735236,7.773574670705328,12,1.0,2.0
KTM Duke 390cc,3-6,Ghaziabad,Pune,1185.5601315672534,106000.0,158197.81528007681,122456.68039470176,35741.13488537505,0.8378700801378849,0.9706877692486436,18877.00489127977,8.087084283363767,12,2.0,2.0
Harley-Davidson Street 750,3-6,Ghaziabad,Mumbai,1162.5744761411004,300000.0,381458.7720587412,326087.7234284233,55371.048630317906,0.862481048865517,0.6224593312018546,18505.54448291824,6.553632565609218,15,2.0,2.0
Harley-Davidson Street 750,3-6,Ghaziabad,Hanumangarh,280.7954789508776,300000.0,438625.2303109945,322323.1819158035,116302.04839519097,0.7075449364222635,0.2689414213699951,18317.78334875381,6.553632565609218,15,2.0,3.0
Bajaj Pulsar RS200 ABS,3-6,Mumbai,Moradabad,1241.8780079135634,89014.28571428571,143113.13761907848,103010.34830945496,40102.78930962352,0.7919853680337536,0.8175744761936437,18296.475824294746,7.950983932894822,12,2.0,0.0
Kawasaki Ninja 650cc,3-6,Pune,Mumbai,119.4544516670014,333333.0,476926.904750115,348332.99,128593.91475011501,0.9060423488536165,0.2689414213699951,18144.523511362953,4.53436874287992,22,2.0,2.0
KTM RC 390cc,3-6,Mumbai,Alibag,47.22993763968445,146515.38461538462,184384.61609839607,155910.84615384616,28473.769944549917,0.5562586173798556,0.9890130573694068,18095.276680366067,7.8043229683563355,12,2.0,1.0
Royal Enfield Classic 350cc,3-6,Ratnagiri,Hyderabad,528.2111596565403,80000.0,125786.5943588322,92312.84463862616,33473.74972020603,0.5421257565756378,0.8175744761936437,17746.466704832754,10.0,10,1.0,2.0
KTM RC 390cc,3-6,Kolkata,Bulandshahr,1239.545683291919,127288.33333333333,228815.28905284594,144971.38704987575,83843.9020029702,0.804148961411705,0.3775406687981454,17545.38206871711,7.8043229683563355,12,0.0,3.0
